tauTau TT
Pi  /eos/home-v/vdamante/HH_bbtautau_resonant_Run2/sync/TTTo2L2Nu_tauTau_Pisa_2.root  Events
Ciemat  /eos/user/e/emartinv/cmt/Sync/test/TTTo2L2Nu_CIEMAT_tautau.root  Events
# Pi events = 52782, # Pi unique events = 52782
# Ciemat events = 53378, # Ciemat unique events = 53378
# common events = 52101
Pi events
run:lumi:evt:sampleId = 1:27710:27709242
run:lumi:evt:sampleId = 1:27769:27768205
run:lumi:evt:sampleId = 1:27777:27776325
run:lumi:evt:sampleId = 1:27861:27860962
run:lumi:evt:sampleId = 1:28228:28227672
run:lumi:evt:sampleId = 1:28759:28758026
run:lumi:evt:sampleId = 1:28776:28775325
run:lumi:evt:sampleId = 1:28881:28880743
run:lumi:evt:sampleId = 1:29114:29113458
run:lumi:evt:sampleId = 1:29163:29162875
run:lumi:evt:sampleId = 1:29305:29304263
run:lumi:evt:sampleId = 1:29541:29540768
run:lumi:evt:sampleId = 1:30650:30649732
run:lumi:evt:sampleId = 1:30727:30726582
run:lumi:evt:sampleId = 1:31198:31197859
run:lumi:evt:sampleId = 1:31218:31217755
run:lumi:evt:sampleId = 1:31503:31502183
run:lumi:evt:sampleId = 1:31721:31720151
run:lumi:evt:sampleId = 1:31740:31739895
run:lumi:evt:sampleId = 1:31972:31971155
run:lumi:evt:sampleId = 1:32173:32172903
run:lumi:evt:sampleId = 1:32737:32736411
run:lumi:evt:sampleId = 1:32834:32833739
run:lumi:evt:sampleId = 1:32946:32945801
run:lumi:evt:sampleId = 1:33012:33011701
run:lumi:evt:sampleId = 1:33252:33251040
run:lumi:evt:sampleId = 1:33289:33288145
run:lumi:evt:sampleId = 1:33418:33417547
run:lumi:evt:sampleId = 1:33748:33747524
run:lumi:evt:sampleId = 1:34171:34170178
run:lumi:evt:sampleId = 1:34724:34723047
run:lumi:evt:sampleId = 1:35130:35129814
run:lumi:evt:sampleId = 1:35239:35238690
run:lumi:evt:sampleId = 1:35552:35551572
run:lumi:evt:sampleId = 1:36198:36197413
run:lumi:evt:sampleId = 1:36652:36651421
run:lumi:evt:sampleId = 1:37055:37054122
run:lumi:evt:sampleId = 1:37178:37177386
run:lumi:evt:sampleId = 1:37208:37207856
run:lumi:evt:sampleId = 1:38072:38071957
run:lumi:evt:sampleId = 1:38315:38314788
run:lumi:evt:sampleId = 1:38481:38480204
run:lumi:evt:sampleId = 1:38708:38707718
run:lumi:evt:sampleId = 1:38770:38769561
run:lumi:evt:sampleId = 1:38976:38975738
run:lumi:evt:sampleId = 1:39062:39061173
run:lumi:evt:sampleId = 1:39268:39267736
run:lumi:evt:sampleId = 1:39380:39379756
run:lumi:evt:sampleId = 1:39402:39401182
run:lumi:evt:sampleId = 1:39618:39617734
run:lumi:evt:sampleId = 1:39776:39775687
run:lumi:evt:sampleId = 1:40285:40284837
run:lumi:evt:sampleId = 1:40432:40431838
run:lumi:evt:sampleId = 1:40509:40508745
run:lumi:evt:sampleId = 1:40556:40555595
run:lumi:evt:sampleId = 1:40567:40566876
run:lumi:evt:sampleId = 1:40942:40941569
run:lumi:evt:sampleId = 1:40946:40945339
run:lumi:evt:sampleId = 1:41101:41100361
run:lumi:evt:sampleId = 1:41125:41124242
run:lumi:evt:sampleId = 1:41192:41191570
run:lumi:evt:sampleId = 1:41567:41566052
run:lumi:evt:sampleId = 1:41605:41604525
run:lumi:evt:sampleId = 1:41967:41966379
run:lumi:evt:sampleId = 1:42067:42066403
run:lumi:evt:sampleId = 1:42252:42251663
run:lumi:evt:sampleId = 1:42427:42426587
run:lumi:evt:sampleId = 1:42530:42529177
run:lumi:evt:sampleId = 1:42768:42767836
