tauTau TT
LLR  /eos/home-v/vdamante/HH_bbtautau_resonant_Run2/sync/TTTo2L2Nu_tauTau_LLR.root  HTauTauTree
Ciemat  /eos/user/e/emartinv/cmt/Sync/TTTo2L2Nu_CIEMAT_tautau.root  Events
# LLR events = 48662, # LLR unique events = 48662
# Ciemat events = 53378, # Ciemat unique events = 53378
# common events = 48307
LLR events
run:lumi:evt:sampleId = 1:52515:52514797
run:lumi:evt:sampleId = 1:52713:52712661
run:lumi:evt:sampleId = 1:52770:52769671
run:lumi:evt:sampleId = 1:52979:52978148
run:lumi:evt:sampleId = 1:53195:53194656
run:lumi:evt:sampleId = 1:53648:53647782
run:lumi:evt:sampleId = 1:53660:53659077
run:lumi:evt:sampleId = 1:53704:53703942
run:lumi:evt:sampleId = 1:53864:53863869
run:lumi:evt:sampleId = 1:54026:54025320
run:lumi:evt:sampleId = 1:54064:54063967
run:lumi:evt:sampleId = 1:54803:54802422
run:lumi:evt:sampleId = 1:55051:55050787
run:lumi:evt:sampleId = 1:55140:55139390
run:lumi:evt:sampleId = 1:55635:55634905
run:lumi:evt:sampleId = 1:56444:56443813
run:lumi:evt:sampleId = 1:56826:56825412
run:lumi:evt:sampleId = 1:58104:58103318
run:lumi:evt:sampleId = 1:58107:58106125
run:lumi:evt:sampleId = 1:58161:58160777
run:lumi:evt:sampleId = 1:60115:60114287
run:lumi:evt:sampleId = 1:60227:60226397
run:lumi:evt:sampleId = 1:60914:60913658
run:lumi:evt:sampleId = 1:61060:61059015
run:lumi:evt:sampleId = 1:61645:61644698
run:lumi:evt:sampleId = 1:62177:62176362
run:lumi:evt:sampleId = 1:62227:62226418
run:lumi:evt:sampleId = 1:62436:62435959
run:lumi:evt:sampleId = 1:62980:62979380
run:lumi:evt:sampleId = 1:64048:64047796
run:lumi:evt:sampleId = 1:64477:64476301
run:lumi:evt:sampleId = 1:64777:64776206
run:lumi:evt:sampleId = 1:65325:65324772
run:lumi:evt:sampleId = 1:65351:65350685
run:lumi:evt:sampleId = 1:65864:65863313
run:lumi:evt:sampleId = 1:65913:65912898
run:lumi:evt:sampleId = 1:66237:66236466
run:lumi:evt:sampleId = 1:66515:66514496
run:lumi:evt:sampleId = 1:66608:66607817
run:lumi:evt:sampleId = 1:67401:67400004
run:lumi:evt:sampleId = 1:67576:67575926
run:lumi:evt:sampleId = 1:67808:67807713
run:lumi:evt:sampleId = 1:67946:67945842
run:lumi:evt:sampleId = 1:68289:68288097
run:lumi:evt:sampleId = 1:68762:68761542
run:lumi:evt:sampleId = 1:69827:69826386
run:lumi:evt:sampleId = 1:71690:71689202
run:lumi:evt:sampleId = 1:72879:72878605
run:lumi:evt:sampleId = 1:73154:73153759
run:lumi:evt:sampleId = 1:73949:73948885
run:lumi:evt:sampleId = 1:73953:73952340
run:lumi:evt:sampleId = 1:73969:73968376
run:lumi:evt:sampleId = 1:74527:74526810
run:lumi:evt:sampleId = 1:75731:75730260
run:lumi:evt:sampleId = 1:75817:75816999
run:lumi:evt:sampleId = 1:76076:76075681
run:lumi:evt:sampleId = 1:76690:76689128
run:lumi:evt:sampleId = 1:77330:77329094
run:lumi:evt:sampleId = 1:77673:77672739
run:lumi:evt:sampleId = 1:77846:77845976
run:lumi:evt:sampleId = 1:77996:77995103
run:lumi:evt:sampleId = 1:78366:78365542
run:lumi:evt:sampleId = 1:78462:78461795
run:lumi:evt:sampleId = 1:79078:79077391
run:lumi:evt:sampleId = 1:79737:79736040
run:lumi:evt:sampleId = 1:81388:81387381
run:lumi:evt:sampleId = 1:81560:81559604
run:lumi:evt:sampleId = 1:82011:82010639
run:lumi:evt:sampleId = 1:82717:82716448
run:lumi:evt:sampleId = 1:82829:82828298
run:lumi:evt:sampleId = 1:83212:83211507
run:lumi:evt:sampleId = 1:83495:83494654
run:lumi:evt:sampleId = 1:83780:83779218
run:lumi:evt:sampleId = 1:83926:83925903
run:lumi:evt:sampleId = 1:84983:84982396
run:lumi:evt:sampleId = 1:85363:85362150
run:lumi:evt:sampleId = 1:85508:85507794
run:lumi:evt:sampleId = 1:85544:85543612
run:lumi:evt:sampleId = 1:85584:85583179
run:lumi:evt:sampleId = 1:85672:85671216
run:lumi:evt:sampleId = 1:85692:85691285
run:lumi:evt:sampleId = 1:88592:88591050
run:lumi:evt:sampleId = 1:88696:88695930
run:lumi:evt:sampleId = 1:90003:90002021
run:lumi:evt:sampleId = 1:90119:90118771
run:lumi:evt:sampleId = 1:90140:90139839
run:lumi:evt:sampleId = 1:90531:90530242
run:lumi:evt:sampleId = 1:90734:90733124
run:lumi:evt:sampleId = 1:90826:90825329
run:lumi:evt:sampleId = 1:91002:91001251
run:lumi:evt:sampleId = 1:91188:91187815
run:lumi:evt:sampleId = 1:91391:91390763
run:lumi:evt:sampleId = 1:91510:91509647
run:lumi:evt:sampleId = 1:92066:92065230
run:lumi:evt:sampleId = 1:94274:94273521
run:lumi:evt:sampleId = 1:94704:94703295
run:lumi:evt:sampleId = 1:95276:95275855
run:lumi:evt:sampleId = 1:95300:95299389
run:lumi:evt:sampleId = 1:95382:95381899
run:lumi:evt:sampleId = 1:96100:96099005
run:lumi:evt:sampleId = 1:96154:96153463
run:lumi:evt:sampleId = 1:96760:96759807
run:lumi:evt:sampleId = 1:97428:97427546
run:lumi:evt:sampleId = 1:97765:97764226
run:lumi:evt:sampleId = 1:97794:97793630
run:lumi:evt:sampleId = 1:98146:98145037
run:lumi:evt:sampleId = 1:98332:98331344
run:lumi:evt:sampleId = 1:98676:98675154
run:lumi:evt:sampleId = 1:99053:99052236
run:lumi:evt:sampleId = 1:99236:99235984
run:lumi:evt:sampleId = 1:99261:99260232
run:lumi:evt:sampleId = 1:99325:99324295
run:lumi:evt:sampleId = 1:99588:99587315
run:lumi:evt:sampleId = 1:100110:100109045
run:lumi:evt:sampleId = 1:100147:100146900
run:lumi:evt:sampleId = 1:100271:100270316
run:lumi:evt:sampleId = 1:101161:101160195
run:lumi:evt:sampleId = 1:101540:101539145
run:lumi:evt:sampleId = 1:101917:101916245
run:lumi:evt:sampleId = 1:102170:102169130
run:lumi:evt:sampleId = 1:102420:102419837
run:lumi:evt:sampleId = 1:102925:102924626
run:lumi:evt:sampleId = 1:103260:103259123
run:lumi:evt:sampleId = 1:103579:103578769
run:lumi:evt:sampleId = 1:103709:103708866
run:lumi:evt:sampleId = 1:103776:103775212
run:lumi:evt:sampleId = 1:104374:104373695
run:lumi:evt:sampleId = 1:104512:104511312
run:lumi:evt:sampleId = 1:105313:105312872
run:lumi:evt:sampleId = 1:105509:105508251
run:lumi:evt:sampleId = 1:106343:106342088
run:lumi:evt:sampleId = 1:107329:107328506
run:lumi:evt:sampleId = 1:107470:107469653
run:lumi:evt:sampleId = 1:107545:107544700
run:lumi:evt:sampleId = 1:107945:107944724
run:lumi:evt:sampleId = 1:107993:107992146
run:lumi:evt:sampleId = 1:108447:108446834
run:lumi:evt:sampleId = 1:108851:108850511
run:lumi:evt:sampleId = 1:108873:108872307
run:lumi:evt:sampleId = 1:109914:109913250
run:lumi:evt:sampleId = 1:110362:110361406
run:lumi:evt:sampleId = 1:111076:111075711
run:lumi:evt:sampleId = 1:111554:111553495
